Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Location,HighPayJobs,AvgWage,InterestRate,TotalPermits,Permits_lag1,ln_HPI,ln_HighPayJobs,ln_Permits_lag1,Entity,Time_FE
22201,2022,13.67,2110.77,486.47,334.25,Arlington,92000,148000,1.6833333333333333,43000,39388.0,7.654808088809705,11.429543856031177,10.581216480367694,22201_Arlington,2022
22201,2023,2.87,2171.42,500.45,343.85,Arlington,98000,152000,5.024166666666667,38000,43000.0,7.683136610402842,11.49272275765271,10.668955394675699,22201_Arlington,2023
22201,2024,6.85,2320.24,534.75,367.42,Arlington,105000,156000,5.1433333333333335,35000,38000.0,7.749425907585814,11.56171562913966,10.545341438708522,22201_Arlington,2024
22202,2022,7.61,888.28,358.94,309.47,Arlington,92000,148000,1.6833333333333333,43000,39388.0,6.789287008606059,11.429543856031177,10.581216480367694,22202_Arlington,2022
22202,2023,3.45,918.94,371.33,320.15,Arlington,98000,152000,5.024166666666667,38000,43000.0,6.8232208318674,11.49272275765271,10.668955394675699,22202_Arlington,2023
22202,2024,2.45,941.46,380.43,327.99,Arlington,105000,156000,5.1433333333333335,35000,38000.0,6.8474318617990315,11.56171562913966,10.545341438708522,22202_Arlington,2024
22203,2022,8.28,1053.87,399.88,319.75,Arlington,92000,148000,1.6833333333333333,43000,39388.0,6.960224381835903,11.429543856031177,10.581216480367694,22203_Arlington,2022
22203,2023,0.83,1062.66,403.22,322.41,Arlington,98000,152000,5.024166666666667,38000,43000.0,6.9685304776965955,11.49272275765271,10.668955394675699,22203_Arlington,2023
22203,2024,10.65,1175.86,446.17,356.76,Arlington,105000,156000,5.1433333333333335,35000,38000.0,7.069755073752794,11.56171562913966,10.545341438708522,22203_Arlington,2024
22204,2022,4.21,1478.07,402.59,338.86,Arlington,92000,148000,1.6833333333333333,43000,39388.0,7.298492461685689,11.429543856031177,10.581216480367694,22204_Arlington,2022
22204,2023,2.65,1517.28,413.27,347.85,Arlington,98000,152000,5.024166666666667,38000,43000.0,7.324674537135417,11.49272275765271,10.668955394675699,22204_Arlington,2023
22204,2024,6.23,1611.87,439.04,369.54,Arlington,105000,156000,5.1433333333333335,35000,38000.0,7.385150274653287,11.56171562913966,10.545341438708522,22204_Arlington,2024
22205,2022,10.19,1626.7,423.47,322.08,Arlington,92000,148000,1.6833333333333333,43000,39388.0,7.394308701772408,11.429543856031177,10.581216480367694,22205_Arlington,2022
22205,2023,1.39,1649.32,429.36,326.56,Arlington,98000,152000,5.024166666666667,38000,43000.0,7.408118360737219,11.49272275765271,10.668955394675699,22205_Arlington,2023
22205,2024,8.1,1782.83,464.11,352.99,Arlington,105000,156000,5.1433333333333335,35000,38000.0,7.485957268393239,11.56171562913966,10.545341438708522,22205_Arlington,2024
22206,2022,5.19,661.06,439.26,367.72,Arlington,92000,148000,1.6833333333333333,43000,39388.0,6.493844607290443,11.429543856031177,10.581216480367694,22206_Arlington,2022
22206,2023,0.42,663.84,441.1,369.27,Arlington,98000,152000,5.024166666666667,38000,43000.0,6.4980411565845575,11.49272275765271,10.668955394675699,22206_Arlington,2023
22206,2024,-2.56,646.81,429.79,359.79,Arlington,105000,156000,5.1433333333333335,35000,38000.0,6.472052588313182,11.56171562913966,10.545341438708522,22206_Arlington,2024
22207,2022,11.78,1579.54,399.9,309.89,Arlington,92000,148000,1.6833333333333333,43000,39388.0,7.36488894439125,11.429543856031177,10.581216480367694,22207_Arlington,2022
22207,2023,-0.33,1574.3,398.57,308.86,Arlington,98000,152000,5.024166666666667,38000,43000.0,7.361566008020583,11.49272275765271,10.668955394675699,22207_Arlington,2023
22207,2024,7.71,1695.74,429.32,332.69,Arlington,105000,156000,5.1433333333333335,35000,38000.0,7.435874502713121,11.56171562913966,10.545341438708522,22207_Arlington,2024
22213,2022,3.18,552.27,362.24,280.79,Arlington,92000,148000,1.6833333333333333,43000,39388.0,6.314037057126581,11.429543856031177,10.581216480367694,22213_Arlington,2022
22213,2024,,627.43,411.55,319.01,Arlington,105000,156000,5.1433333333333335,35000,38000.0,6.441632110998492,11.56171562913966,10.545341438708522,22213_Arlington,2024
